/home/rk2tcpl/benchmarkDataSet/special2/network_spliter_100_algo_louvain_final_bf_0.85_pruning_0.25.dat
NMI<Max>:	0.618348
Other measures:
  lfkNMI:	0.598317
  NMI<Sum>:	0.659888
/home/rk2tcpl/benchmarkDataSet/special2/network_spliter_100_algo_louvain_final_bf_0.3_pruning_0.65.dat
NMI<Max>:	0.65169
Other measures:
  lfkNMI:	0.616533
  NMI<Sum>:	0.688035
/home/rk2tcpl/benchmarkDataSet/special2/network_spliter_100_algo_louvain_final_bf_0.65_pruning_0.55.dat
NMI<Max>:	0.634044
Other measures:
  lfkNMI:	0.607242
  NMI<Sum>:	0.673207
/home/rk2tcpl/benchmarkDataSet/special2/network_spliter_100_algo_louvain_final_bf_0.1_pruning_0.85.dat
NMI<Max>:	0.649257
Other measures:
  lfkNMI:	0.611767
  NMI<Sum>:	0.683191
/home/rk2tcpl/benchmarkDataSet/special2/network_spliter_100_algo_louvain_final_bf_0.25_pruning_0.25.dat
NMI<Max>:	0.651044
Other measures:
  lfkNMI:	0.61488
  NMI<Sum>:	0.686361
/home/rk2tcpl/benchmarkDataSet/special2/network_spliter_100_algo_louvain_final_bf_0.3_pruning_0.15.dat
NMI<Max>:	0.651641
Other measures:
  lfkNMI:	0.616363
  NMI<Sum>:	0.687877
/home/rk2tcpl/benchmarkDataSet/special2/network_spliter_100_algo_louvain_final_bf_0.35_pruning_0.45.dat
NMI<Max>:	0.650409
Other measures:
  lfkNMI:	0.61647
  NMI<Sum>:	0.687253
/home/rk2tcpl/benchmarkDataSet/special2/network_spliter_100_algo_louvain_final_bf_0.45_pruning_0.45.dat
NMI<Max>:	0.647249
Other measures:
  lfkNMI:	0.615353
  NMI<Sum>:	0.684743
/home/rk2tcpl/benchmarkDataSet/special2/network_spliter_100_algo_louvain_final_bf_0.5_pruning_0.7.dat
NMI<Max>:	0.642641
Other measures:
  lfkNMI:	0.611715
  NMI<Sum>:	0.680368
/home/rk2tcpl/benchmarkDataSet/special2/network_spliter_100_algo_louvain_final_bf_0.7_pruning_0.65.dat
NMI<Max>:	0.629669
Other measures:
  lfkNMI:	0.60455
  NMI<Sum>:	0.669376
/home/rk2tcpl/benchmarkDataSet/special2/network_spliter_100_algo_louvain_final_bf_0.6_pruning_0.25.dat
NMI<Max>:	0.637082
Other measures:
  lfkNMI:	0.608794
  NMI<Sum>:	0.675752
/home/rk2tcpl/benchmarkDataSet/special2/network_spliter_100_algo_louvain_final_bf_0.75_pruning_0.35.dat
NMI<Max>:	0.625113
Other measures:
  lfkNMI:	0.602264
  NMI<Sum>:	0.665498
/home/rk2tcpl/benchmarkDataSet/special2/network_spliter_100_algo_louvain_final_bf_0.65_pruning_0.8.dat
NMI<Max>:	0.634009
Other measures:
  lfkNMI:	0.607181
  NMI<Sum>:	0.673175
/home/rk2tcpl/benchmarkDataSet/special2/network_spliter_100_algo_louvain_final_bf_0.65_pruning_0.4.dat
NMI<Max>:	0.634009
Other measures:
  lfkNMI:	0.607181
  NMI<Sum>:	0.673175
/home/rk2tcpl/benchmarkDataSet/special2/network_spliter_100_algo_louvain_final_bf_0.15_pruning_0.3.dat
NMI<Max>:	0.63614
Other measures:
  lfkNMI:	0.589148
  NMI<Sum>:	0.661096
/home/rk2tcpl/benchmarkDataSet/special2/network_spliter_100_algo_louvain_final_bf_0.7_pruning_0.9.dat
NMI<Max>:	0.629654
Other measures:
  lfkNMI:	0.604757
  NMI<Sum>:	0.669352
/home/rk2tcpl/benchmarkDataSet/special2/network_spliter_100_algo_louvain_final_bf_0.3_pruning_0.0.dat
NMI<Max>:	0.651666
Other measures:
